VARLOC,LOC,VAR,emmean,SE,df,lower.CL,upper.CL,.group,AMINOACID
Regalona-Spain,Regalona,Spain,18.7132361333333,0.835780702648666,9,15.8316898961106,21.5947823705561,   c,Lysine
Salcedo-Chile,Salcedo,Chile,7.696105671,1.02361812917701,9,4.16694669528371,11.2252646467163, ab ,Lysine
Salcedo-Peru,Salcedo,Peru,4.124725034,1.02361812917701,9,0.595566058283706,7.65388400971629, a  ,Lysine
Salcedo-Spain,Salcedo,Spain,10.511671505,1.02361812917701,9,6.98251252928371,14.0408304807163,  b ,Lysine
Titicaca-Chile,Titicaca,Chile,9.05460630966667,0.835780702648666,9,6.17306007244392,11.9361525468894,  b ,Lysine
Titicaca-Spain,Titicaca,Spain,8.3180106485,1.02361812917701,9,4.78885167278371,11.8471696242163, ab ,Lysine
Regalona-Chile,Regalona,Chile,4.238163005,0.948358231851955,9,0.96847983826509,7.50784617173491, a ,Methionine
Regalona-Spain,Regalona,Spain,9.16506821666666,0.774331253801785,9,6.49538309031067,11.8347533430227,  b,Methionine
Salcedo-Chile,Salcedo,Chile,4.970976511,0.948358231851955,9,1.70129334426509,8.24065967773491, ab,Methionine
Salcedo-Peru,Salcedo,Peru,6.782966927,0.948358231851955,9,3.51328376026509,10.0526500937349, ab,Methionine
Salcedo-Spain,Salcedo,Spain,7.297130348,0.948358231851955,9,4.02744718126509,10.5668135147349, ab,Methionine
Titicaca-Chile,Titicaca,Chile,2.86440677266667,0.774331253801785,9,0.194721646310672,5.53409189902266, a ,Methionine
Titicaca-Spain,Titicaca,Spain,5.621795301,0.948358231851955,9,2.35211213426509,8.89147846773491, ab,Methionine
Regalona-Chile,Regalona,Chile,25.05016688,3.3526330810273,9,13.4911930860288,36.6091406739712, a ,Phenylalanine
Regalona-Spain,Regalona,Spain,32.2023093733333,2.73741344776398,9,22.7644467915227,41.640171955144, ab,Phenylalanine
Salcedo-Chile,Salcedo,Chile,21.01555929,3.3526330810273,9,9.45658549602884,32.5745330839712, a ,Phenylalanine
Salcedo-Peru,Salcedo,Peru,29.25103233,3.3526330810273,9,17.6920585360288,40.8100061239712, ab,Phenylalanine
Salcedo-Spain,Salcedo,Spain,43.074851535,3.3526330810273,9,31.5158777410288,54.6338253289712,  b,Phenylalanine
Titicaca-Chile,Titicaca,Chile,25.1906279633333,2.73741344776398,9,15.7527653815227,34.628490545144, a ,Phenylalanine
Titicaca-Spain,Titicaca,Spain,19.736898855,3.3526330810273,9,8.17792506102885,31.2958726489712, a ,Phenylalanine
Regalona-Chile,Regalona,Chile,87.06470846,10.151282359293,9,52.0658273028901,122.06358961711, ab,Proline
Regalona-Spain,Regalona,Spain,87.6301278333334,8.2884873383947,9,59.0536610322573,116.206594634409,  b,Proline
Salcedo-Chile,Salcedo,Chile,72.298431305,10.151282359293,9,37.2995501478901,107.29731246211, ab,Proline
Salcedo-Peru,Salcedo,Peru,36.532555285,10.151282359293,9,1.53367412789009,71.5314364421099, a ,Proline
Salcedo-Spain,Salcedo,Spain,56.40767914,10.151282359293,9,21.4087979828901,91.4065602971099, ab,Proline
Titicaca-Chile,Titicaca,Chile,77.4422962466667,8.2884873383947,9,48.8658294455906,106.018763047743, ab,Proline
Titicaca-Spain,Titicaca,Spain,61.53744874,10.151282359293,9,26.5385675828901,96.5363298971099, ab,Proline
Regalona-Chile,Regalona,Chile,9.701063404,2.34028313435134,8,1.3478289792598,18.0542978287402, a,Serine
Regalona-Spain,Regalona,Spain,15.89665842,2.34028313435134,8,7.5434239952598,24.2498928447402, a,Serine
Salcedo-Chile,Salcedo,Chile,12.635073745,2.34028313435134,8,4.2818393202598,20.9883081697402, a,Serine
Salcedo-Peru,Salcedo,Peru,8.5318927925,2.34028313435134,8,0.1786583677598,16.8851272172402, a,Serine
Salcedo-Spain,Salcedo,Spain,18.41350947,2.34028313435134,8,10.0602750452598,26.7667438947402, a,Serine
Titicaca-Chile,Titicaca,Chile,10.847454443,1.91083317760069,8,4.02706709551185,17.6678417904881, a,Serine
Titicaca-Spain,Titicaca,Spain,9.74433314349999,2.34028313435134,8,1.3910987187598,18.0975675682402, a,Serine
Regalona-Chile,Regalona,Chile,30.329633955,5.59040440990992,9,11.0554287228399,49.6038391871601, a,Threonine
Regalona-Spain,Regalona,Spain,39.7987094333333,4.56454608669473,9,24.0613867611753,55.5360321054914, a,Threonine
Salcedo-Chile,Salcedo,Chile,21.06718581,5.59040440990992,9,1.79298057783989,40.3413910421601, a,Threonine
Salcedo-Peru,Salcedo,Peru,17.80691627,5.59040440990992,9,-1.46728896216012,37.0811215021601, a,Threonine
Salcedo-Spain,Salcedo,Spain,34.15866531,5.59040440990992,9,14.8844600778399,53.4328705421601, a,Threonine
Titicaca-Chile,Titicaca,Chile,28.7749838366667,4.56454608669473,9,13.0376611645086,44.5123065088247, a,Threonine
Titicaca-Spain,Titicaca,Spain,17.819882605,5.59040440990992,9,-1.45432262716011,37.0940878371601, a,Threonine
Regalona-Chile,Regalona,Chile,34.83270881,6.22228535741083,9,13.3799486520397,56.2854689679603, a ,Tryptophan
Regalona-Spain,Regalona,Spain,43.2446708066667,5.08047471988259,9,25.7285654862296,60.7607761271038, a ,Tryptophan
Salcedo-Chile,Salcedo,Chile,56.646585515,6.22228535741083,9,35.1938253570397,78.0993456729603, a ,Tryptophan
Salcedo-Peru,Salcedo,Peru,121.10208135,6.22228535741083,9,99.6493211920397,142.55484150796,  b,Tryptophan
Salcedo-Spain,Salcedo,Spain,57.40089514,6.22228535741083,9,35.9481349820397,78.8536552979603, a ,Tryptophan
Titicaca-Chile,Titicaca,Chile,29.2230978066667,5.0804747198826,9,11.7069924862295,46.7392031271038, a ,Tryptophan
Titicaca-Spain,Titicaca,Spain,32.838650355,6.22228535741082,9,11.3858901970397,54.2914105129603, a ,Tryptophan
Regalona-Chile,Regalona,Chile,31.83634676,7.85722606622487,9,4.74675240302636,58.9259411169736, a ,Valine
Regalona-Spain,Regalona,Spain,48.2762925666667,6.41539821864882,9,26.1577313954787,70.3948537378547, ab,Valine
Salcedo-Chile,Salcedo,Chile,25.489794845,7.85722606622487,9,-1.59979951197363,52.5793892019737, a ,Valine
Salcedo-Peru,Salcedo,Peru,32.71101599,7.85722606622488,9,5.62142163302635,59.8006103469736, a ,Valine
Salcedo-Spain,Salcedo,Spain,75.046328405,7.85722606622487,9,47.9567340480263,102.135922761974,  b,Valine
Titicaca-Chile,Titicaca,Chile,35.7806173033333,6.41539821864882,9,13.6620561321453,57.8991784745213, a ,Valine
Titicaca-Spain,Titicaca,Spain,22.91676814,7.85722606622487,9,-4.17282621697363,50.0063624969737, a ,Valine
